Image,Brand,Model,Category,Page,Img Score,Vision Score
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-6-230x350.png,ASUS,C423NA-EC0179,Laptop,5,,4.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-4-1-230x350.png,ASUS,?,Laptop,5,,5.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-1-2-230x350.png,ASUS,C523NA-A20033,Laptop,5,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-5-1-230x350.png,ASUS,C423NA-BV0051,Laptop,5,,5.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-3-1-230x350.png,ASUS,TUF505DU-BQ178T,Laptop,5,,5.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-2-2-230x350.png,ASUS,C433TA-AJ0160,Laptop,5,,7.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-1-2-230x350.png,ASUS,C523NA-A20071,Laptop,5,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-2-2-230x350.png,ASUS,C436FA-E10089,Laptop,5,,5.9
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-2-2-230x350.png,ASUS,C436FA-E10421,Laptop,5,,5.9
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-1-2-230x350.png,ASUS,C423NA-BZ0162,Laptop,5,,4.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-4-230x350.png,ASUS,C433TA-AJ0035,Laptop,5,,5.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-9-230x350.png,ASUS,GX551QR-006T,Laptop,5,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-9-230x350.png,ASUS,GX551QS-013T,Laptop,5,,7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-16-230x350.png,SELECLINE,SELECLINE,TV,1,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-15-230x350.png,QILIVE,QILIVE,TV,1,,7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-14-230x350.png,QILIVE,QILIVE,TV,1,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-14-230x350.jpg,QILIVE,QILIVE,TV,1,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/4-a-59-230x350.jpg,QILIVE,QILIVE,TV,1,,5.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-13-230x350.png,SELECLINE,SELECLINE,TV,1,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-12-230x350.png,SELECLINE,SELECLINE,TV,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-11-230x350.png,SELECLINE,SELECLINE,TV,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-10-230x350.png,SELECLINE,SELECLINE,TV,1,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-9-230x350.png,QILIVE,QILIVE,TV,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-7-230x350.png,QILIVE,QILIVE,TV,1,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-6-230x350.png,QILIVE,QILIVE,TV,1,,7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-5-230x350.png,QILIVE,QILIVE,TV,1,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-4-230x350.png,SELECLINE,SELECLINE,TV,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-3-230x350.png,SELECLINE,SELECLINE,TV,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-2-230x350.png,QILIVE,QILIVE,TV,1,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-2-2-230x350.jpg,QILIVE,QILIVE,TV,2,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-2-1-230x350.jpg,QILIVE,QILIVE,TV,2,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-2-230x350.jpg,QILIVE,QILIVE,TV,2,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-1-230x350.png,QILIVE,QILIVE,TV,2,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-1-230x350.png,QILIVE,QILIVE,TV,2,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-230x350.png,QILIVE,QILIVE,TV,2,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/02/6-a-79-2-230x350.png,QILIVE,QILIVE,TV,2,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/02/6-a-79-1-230x350.png,07/12/2021,07/12/2021,TV,2,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/02/6-a-79-230x350.png,600081701,600081701,TV,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7921-1-230x350.png,PHILIPS,65OLED754/12,TV,2,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-596-1-230x350.png,–,–,TV,2,,5.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-59-1-230x350.png,55NANO796NE,55NANO796NE,TV,2,,5.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-595-230x350.png,43UP75006LF,43UP75006LF,TV,2,,5.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7920-1-230x350.png,Smart Tech,–,TV,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7919-1-230x350.png,SMARTTECH,–,TV,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-594-1-230x350.png,32T4302,32T4302,TV,2,,5.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7918-230x350.jpg,55GX3,55GX3,TV,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7917-1-230x350.jpg,65GX3,65GX3,TV,3,,7.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7916-230x350.png,SONY,KD49X7055BAEP,TV,3,,6.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/8-a-103-1-230x350.jpg,SAMSUNG,SAMSUNG,TV,3,,8
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7915-230x350.png,PHILIPS,,TV,3,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7914-2-230x350.png,SAMSUNG,SAMSUNG,TV,3,,7.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7913-1-230x350.png,75NANO903,75NANO903,TV,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-593-1-230x350.png,OLED55BX6LB,OLED55BX6LB,TV,3,,5.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-7912-1-230x350.png,PHILIPS,65PUS7805/12,TV,3,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/6-a-79-4-230x350.png,SONY,KE75XH8096,TV,3,,6.6
